Name,City,State,Zip,Amount
Venice Christian School,Venice,FL,34292,500
Varsity International School,Honolulu,HI,96826,150
Crandall High School,Crandall,TX,75114,150
Kids Obtaining Real Education (KORE) Academy,Lexington,KY,40515,150
Fountain Central Junior-Senior High School,Veedersburg,IN,47987,150
Parma Senior High School,Parma,ID,83660,150
STAR Academy for youth,Custer,SD,57730,150
Urban Assembly Gateway School For Technology,New York,NY,10019,150
Konos Academy,Fayetteville,GA,30214,150
Power Christian Academy,Laredo,TX,78045,500
Moscow Senior High School,Moscow,ID,83843,150
Albena Lake Hodge Comprehensive School,The Valley,,00nan,2700
George County High School,Lucedale,MS,39452,150
O'connell College Preparatory School,Galveston,TX,77550,150
Central York High School,York,PA,17406,150
Travis Early College High School,San Antonio,TX,78212,150
Aspire Langston Hughes Academy,Stockton,CA,95205,150
Faith Baptist School,Louisiana,MO,63353,500
Field Kindley High School,Coffeyville,KS,67337,150
Excelsior High School,Aurora,CO,80014,150
Knox County Evening High School,Knoxville,TN,37917,150
Dan River High School,Ringgold,VA,24586,150
Cape Fear Christian Academy,Erwin,NC,28339,500
Dare County Alternative School,Manteo,NC,27954,150
Westhampton Beach High School,W Hampton Bch,NY,11978,150
Alpha Omega High School and Learning Center,Covington,GA,30014,150
Schiller Academy,Dunedin,FL,34698,500
Education Plus - Learning Center Academy,Pilot Point,TX,76258,150
Bleckley County High School,Cochran,GA,31014,150
Dallas Learning Center,Richardson,TX,75080,150
Victory Academy,Amarillo,TX,79109,150
Marquette County Christian School,Marquette,MI,49855,500
Visual and Performing Arts Center,Statesville,NC,28677,150
Charleroi Area High School,Charleroi,PA,15022,150
Taylorsville High School,Salt Lake Cty,UT,84123,150
Mechanicville High School,Mechanicville,NY,12118,500
Union Christian Academy,Fort Smith,AR,72904,500
Ozark Baptist Christian Academy,Bergman,AR,72615,500
Solid Rock Academy,Fayetteville,GA,30214,500
Horizon School,La Quinta,CA,92253,150
Hobart High School,Hobart,IN,46342,150
Arlington Memorial High School,Arlington,VT,05250,150
Kennedale High School,Kennedale,TX,76060,150
Arcadia High School,Arcadia,LA,71001,150
Southbridge High School,Southbridge,MA,01550,150
Waldorf School of Saratoga Springs,Saratoga Spgs,NY,12866,150
Haverhill High School,Haverhill,MA,01832,150
Arundel School,Harare,,00nan,2700
Cristo Rey Jesuit College Preparatory School of Houston,Houston,TX,77087,2700
Hilton Head Island High School,Hilton Head,SC,29926,150
White Mountains Regional High School,Whitefield,NH,03598,150
North Hudson Academy,North Bergen,NJ,07047,150
Canongate Catholic High School,Fletcher,NC,28732,2700
Whittier High School,Whittier,CA,90601,150
Brown County High School,Mt Sterling,IL,62353,150
Brantley High School,Brantley,AL,36009,150
Nazarene Christian School,Philomath,OR,97370,500
Dutchess Alternative High School,Poughkeepsie,NY,12603,150
Marion Senior High School,Marion,AR,72364,500
Lake View Evening High School,Chicago,IL,60613,150
Delta Correspondence School,Delta Junction,AK,99737,150
Ridgemont High School,Ridgeway,OH,43345,150
Marathon High School,Marathon,FL,33050,500
Houlka Attendance Center,Houlka,MS,38850,150
Al Waha Language School American Divison,Cairo,,00nan,2700
Apex Friendship High School,Apex,NC,00nan,2700
Albuquerque Academy,Albuquerque,NM,87109,150
Mountain Valley School,Saguache,CO,81149,150
Onondaga Community College Liberty Partnership Program,Syracuse,NY,13207,150
Kings Canyon High School,Dinuba,CA,00nan,2700
Palmer Public School,Palmer,NE,68864,150
Hemingway High School,Hemingway,SC,29554,150
Quentin Road School,Hawthorn Wds,IL,60047,500
Frankton High School,Frankton,IN,46044,150
"Agora Cyber Charter School, Grades 9-12",Wayne,PA,19087,150
The Jewish Institute of Queens,Elmhurst,NY,11373,500
Thomasville High School,Thomasville,GA,31792,150
Dubach High School,Dubach,LA,71235,150
Garinger High School,Charlotte,NC,28205,150
Village Academy,Nashville,TN,37210,150
In His Image Christian Academy,Marietta,GA,30008,500
Christian Academy of San Antonio,San Antonio,TX,78207,500
Edison High School,Milan,OH,44846,150
Leesburg High School,Leesburg,FL,34748,150
American International School Rotterdam,Rotterdam,,00nan,2700
Saint Charles High School,Saint Charles,MO,63301,150
Pauls Valley Senior High School,Pauls Valley,OK,73075,150
Clayton County Alternative School,Jonesboro,GA,30236,150
Modesto Christian High School,Modesto,CA,95356,500
Georgia Virtual School,Atlanta,GA,30334,150
Masters Academy,Mission Viejo,CA,92692,500
Sequoia Charter School,Santa Clarita,CA,91350,500
King S Word High School,Yukon,OK,73099,150
Dependent Christian School,Inman,SC,29349,500
Douglas Macarthur High School,Decatur,IL,62522,150
Gustine High School,Gustine,TX,76455,150
Homer Senior High School,Homer,NY,13077,150
Hershey Public School,Hershey,NE,69143,150
Pope County High School,Golconda,IL,62938,150
Escambia Juvenile Detention,Pensacola,FL,32503,150
All Saints Episcopal School of Lubbock,Lubbock,TX,79423,150
Dunwoody Academy High School,Minneapolis,MN,55411,150
Cheyenne Wells High School,Cheyenne Wells,CO,80810,150
Rockwall Christian Academy,Rowlett,TX,75088,500
Burgettstown Area Middle-High School,Burgettstown,PA,15021,150
Licking Heights High School,Pataskala,OH,43062,150
Linton-Stockton High School,Linton,IN,47441,500
New Paltz Central High School,New Paltz,NY,12561,150
Roxborough High School,Philadelphia,PA,19128,150
College & Career Preparatory Academy,Bethlehem,GA,30620,150
Homewood Center,Ellicott City,MD,21042,150
Perpich Center for Arts Education,Golden Valley,MN,55422,150
Magna Vista High School,Ridgeway,VA,24148,500
Wake Christian Academy,Raleigh,NC,27603,500
Academy for Culinary Arts Visual and Performing Arts,Hackensack,NJ,07601,150
Madera South High School,Madera,CA,93637,500
Halstrom Academy-San Mateo,San Mateo,CA,94404,150
Swissvale Baptist Academy,Pittsburgh,PA,15218,500
Naselle Youth Camp School,Naselle,WA,98638,150
Christian Life Center Church Academy,Centre,AL,35960,500
Wolfe County High School,Campton,KY,41301,150
Miami Southridge Senior High School,Miami,FL,33157,500
Palm Valley School,Rancho Mirage,CA,92270,500
Northwood High School,Pittsboro,NC,27312,150
Johnston High School,Austin,TX,78721,150
Beamsville District High School,Beamsville,ON,00nan,2700
Caston Junior Senior High School,Rochester,IN,46975,150
Lehigh Valley Charter High School for the Arts,Bethlehem,PA,18015,150
Comstock Park High School,Comstock Park,MI,49321,150
Thackerville High School,Thackerville,OK,73459,150
Central Junior-Senior High School,Burden,KS,67019,150
Northside Christian School,Maitland,FL,32751,500
Potters House Academy,Orlando,FL,00nan,2700
James Irwin Charter High School,Colorado Spgs,CO,80916,150
Wayne Academy,Waynesboro,MS,39367,150
Chesaning Union High School,Chesaning,MI,48616,150
Santa Rita High School,Tucson,AZ,85730,150
Victory Technical High School,Morganfield,KY,42437,150
Hayworth Christian School,High Point,NC,27262,500
Bolton High School,Arlington,TN,38002,150
Calvary Christian School of King,King,NC,27021,500
Pinnacle Academy Oakton,Oakton,VA,00nan,2700
Desert Edge High School,Goodyear,AZ,85338,150
Maize High School,Maize,KS,67101,500
Heartwood Renaissance Academy,Sturgis,MI,49091,150
Katy High School,Katy,TX,77494,150
Greenwood High School,Millerstown,PA,17062,2700
Woodbridge High School,Bridgeville,DE,19933,150
Grand Canyon High School,Grand Canyon,AZ,86023,150
Stoney Point High School,Chatsworth,CA,91311,150
Louise High School,Louise,TX,77455,500
Ets High School: Mary Wunder,Princeton,NJ,08541,150
Sandy Valley High School,Magnolia,OH,44643,150
Whitewater High School,Whitewater,MT,59544,150
Mill Springs Academy,Alpharetta,GA,30004,500
Eastside High School,Paterson,NJ,07501,150
Chula Vista Senior High School,Chula Vista,CA,91911,150
Happy Valley Christian Academy,Asheville,NC,28816,500
Caddo-Kiowa Technology Center,Fort Cobb,OK,73038,150
Hill School Of Fort Worth,Fort Worth,TX,76133,150
Lyme Central School,Chaumont,NY,13622,500
Paul Cuffee High School,Providence,RI,02907,500
West Forsyth High School,Clemmons,NC,27012,150
Gwinnett School of Mathematics Science and Technology,Lawrenceville,GA,30044,150
Madonna Heights School Girls,Dix Hills,NY,11746,500
Amherst High School,Amherst,NE,68812,150
Napavine Junior-Senior High School,Napavine,WA,98565,150
Middle College at Austin Peay State University,Clarksville,TN,37044,500
Academy of Academics & Technology,Tallahassee,FL,32304,500
Chicago Virtual Charter School,Chicago,IL,60607,150
Life Skills Center of Toledo,Toledo,OH,43604,500
KIPP Renaissance High School at Frederick A Douglass High School,New Orleans,LA,70117,150
Rock Port R-Ii High School,Rock Port,MO,64482,150
Harper Woods High School,Harper Woods,MI,48225,150
Abiqua Academy,Salem,OR,00nan,2700
Woodlawn Community High School,Woodlawn,IL,62898,150
T Wingate Andrews High School,High Point,NC,27265,150
Rochester Community High School,Rochester,IN,46975,150
Ilan High School,Ocean,NJ,07712,150
Magnolia High School,Magnolia,AR,71753,500
Woodside Baptist Church and School,Denver,CO,80247,150
Detroit International Academy,Detroit,MI,48202,150
Kidspeace-Ellsworth Graham Lake School,Ellsworth,ME,04605,150
Oakwood School,N Hollywood,CA,91601,150
Dale Cassens School,Fort Pierce,FL,34950,150
Mary Star of the Sea High School,San Pedro,CA,90731,500
South Davidson High School,Denton,NC,27239,150
Hyman Brand Hebrew Academy,Overland Park,KS,66211,150
Abbey School,Abbey,SK,00nan,2700
Noorvik High School,Noorvik,AK,99763,150
High School For Community Research And Learning,Bronx,NY,10473,150
Cambridge Springs High School,Cambridg Spgs,PA,16403,150
Oxon Hill High School,Oxon Hill,MD,20745,150
Cleveland White School,Wilmington,DE,19805,150
Glennallen School,Glennallen,AK,99588,150
Cheyenne High School,N Las Vegas,NV,89032,150
Renaissance Academy,Macon,GA,31204,150
Spirit and Life Christian Academy,Lenoir,NC,28645,500
Central Bay High School,Salinas,CA,93907,150
Dibble High School,Dibble,OK,73031,150
Walden Academy,San Francisco,CA,94102,150
Davenport Junior-Senior High School,Davenport,WA,99122,150
Brantford Collegiate Institute,Brantford,ON,00nan,2700
Lindsay High School,Lindsay,OK,73052,500
Homelink,Lake Stevens,WA,98258,150
Maclay School,Tallahassee,FL,32312,500
Independence Charter Academy,Helendale,CA,00nan,2700
Glenoaks Therapeutic Day School-North Campus,Glendale Hts,IL,60139,150
Corporate Academy South,Homestead,FL,33034,150
High School of Graphic Communications and Art,New York,NY,10019,150
Premier High School Texarkana,Texarkana,TX,00nan,2700
Kingikmiut Wales School,Wales,AK,99783,150
Anadarko Adult Institute,Anadarko,OK,73005,150
Consolidated Community School Services,Kincheloe,MI,49788,150
Macomb Mathematics Science and Technology Center,Warren,MI,48092,500
Town And Country School,Tulsa,OK,74137,500
Lake Charles College Prep,Lake Charles,LA,70607,150
Firwood Secondary School,Lakewood,WA,98498,150
Chesterton Academy of the Most Holy Eucharist,Yuba City,CA,95991,2700
Opportunity Awareness Center,Katy,TX,77493,150
Saint Louis Priory School,Saint Louis,MO,63141,2700
Barstow School,Kansas City,MO,64114,150
Red Lion Christian Academy,Bear,DE,19701,500
Georgia Cyber Academy,Atlanta,GA,30349,150
Le Jardin Academy,Kailua,HI,96734,150
Juniata Mennonite School,Mc Alistervle,PA,17049,150
Rock Creek High School,Bokchito,OK,74726,150
Coeburn High School,Coeburn,VA,24230,150
Hillwood Comprehensive High School,Nashville,TN,37205,150
F L Schlagle High School,Kansas City,KS,66104,150
Putnam Science Academy,Putnam,CT,06260,500
Arizona Connections Academy,Gilbert,AZ,85297,150
Martin Luther King Junior High School,Lithonia,GA,30038,500
Cape Christian Academy,Cape May Ch,NJ,08210,500
Aliso Niguel High School,Aliso Viejo,CA,92656,150
Benson High School,Omaha,NE,68104,150
Baytown Christian Academy,Baytown,TX,77521,500
Wall High School,Wall,SD,57790,150
Bowie High School,Bowie,AZ,85605,150
Zebulon B Vance High School,Charlotte,NC,28262,150
Jonathan Edwards Classical Academy,Whites Creek,TN,00nan,2700
Evangelical Christian School,Cordova,TN,38018,500
Cumberland Valley High School,Mechanicsburg,PA,17050,150
Pitman High School,Pitman,NJ,08071,150
Richmond Hill High School,Richmond Hill,NY,11418,150
Nashua High School,Nashua,MT,59248,150
Life Sciences Secondary School,New York,NY,10128,500
Colorado High School,Colorado City,TX,79512,150
Atlantic County Institute of Technology,Mays Landing,NJ,08330,150
Edna Bay School,Edna Bay,AK,99950,150
Tidehaven High School,Elmaton,TX,77440,150
Friends Academy,Locust Valley,NY,11560,500
Open Door Christian Academy,Paducah,KY,42003,500
Lutheran High School,Parker,CO,80134,500
Orlando Tech,Orlando,FL,32801,150
Next High School,Greenville,SC,00nan,2700
Henry Ford High School,Detroit,MI,48219,150
International Preparatory School at Grover,Buffalo,NY,14204,150
Simpson High School,Simpson,LA,71474,150
Buckhannon-Upshur High School,Buckhannon,WV,26201,150
East Los Angeles Performing Arts Academy at Torres High School,Los Angeles,CA,90063,150
Laconia Christian School,Laconia,NH,03246,500
Greyhills Academy High School,Tuba City,AZ,86045,150
Clay County High School,Celina,TN,38551,150
Jack Egnaty Senior School,Sleetmute,AK,99668,150
Elderton Junior - Senior High School,Elderton,PA,15736,150
Bali Island School,Denpasar Bali,,00nan,2700
Able Charter School,Oklahoma City,OK,00nan,2700
Treland Academy,Wheaton,IL,60187,500
John A Holmes High School,Edenton,NC,27932,150
Wind River High School,Pavillion,WY,82523,150
Robert W Traip Academy,Kittery,ME,03904,150
Glens Falls High School,Glens Falls,NY,12801,150
Godwin Heights High School,Grand Rapids,MI,49548,150
Tiverton High School,Tiverton,RI,02878,150
Park View High School,Sterling,VA,20164,150
Visalia Technical Education Center,Visalia,CA,93277,150
Metropolitan Advanced Technology High School,Kansas City,MO,64106,500
Gold Medal Honors Academy,Deland,FL,32720,150
Yeshiva Kol Torah,Brooklyn,NY,11229,150
Falcon Virtual Academy,Colorado Spgs,CO,80908,150
Latino Preparatory Academy,Chicago,IL,60608,150
Holy Family Catholic High School,Victoria,MN,55386,2700
School of International Business,San Diego,CA,92111,150
Millington High School,Millington,MI,48746,150
Newburg High School,Newburg,MO,65550,150
El Paso Academy East,El Paso,TX,79935,150
South Side High School,Hookstown,PA,15050,150
Dodgeville High School,Dodgeville,WI,53533,150
Oceana High School,Rothbury,MI,49452,150
Inlet Grove Community High School,Riviera Beach,FL,33404,150
Bel Air High School,El Paso,TX,79915,150
Texoma Christian School,Sherman,TX,75092,500
Queen Of Peace High School,N Arlington,NJ,07031,2700
Canadian High School,Canadian,TX,79014,150
Jamesville-Dewitt High School,Dewitt,NY,13214,150
Dorothy Sayers Classical School,Louisville,KY,40299,150
Griswold High School,Helix,OR,97835,150
Genesee Early College,Flint,MI,48507,150
Houghton High School,Houghton,MI,49931,150
Warrior Run High School,Turbotville,PA,17772,150
Lacordaire Academy Secondary Division,Upr Montclair,NJ,07043,150
Torah High School Long Beach,Long Beach,NY,11561,500
Regina Coeli Online Academy,Tucson,AZ,85747,2700
Concordia Lutheran High School,Fort Wayne,IN,46805,500
Bella Vista Academy,Mayaguez,PR,00680,2700
Griffith Park Academy,Decatur,IL,62521,150
West Las Vegas Family Partnership School,Las Vegas,NM,87701,150
Wings Academy,Bronx,NY,10460,150
Midwood High School at Brooklyn College,Brooklyn,NY,11210,150
Broadneck High School,Annapolis,MD,21409,150
Hobe Sound Christian Academy,Hobe Sound,FL,33475,500
Nava College Preparatory Academy,Los Angeles,CA,90011,150
Westmark School,Encino,CA,91316,150
Bakersfield Christian High School,Bakersfield,CA,93314,500
Huron High School,Huron,SD,57350,150
Pioneer Consolidated School,Waukomis,OK,73773,150
Drop Back In Academy: Fort Pierce,Fort Pierce,FL,34947,150
Brooklyn Academy High School,Brooklyn,NY,11216,150
Van Horn High School,Riverside,CA,92503,150
Westhampton Beach Learning Center,W Hampton Bch,NY,11978,150
Lincoln West High School,Cleveland,OH,44109,500
Queens School of Inquiry,Flushing,NY,11366,150
Jersey City State College,Jersey City,NJ,07305,150
Greater Miami Adventist Academy,Miami,FL,33182,150
Tulelake High School,Tulelake,CA,96134,150
Madison Oaks Academy,Jackson,TN,38305,500
Kankakee High School,Kankakee,IL,60901,150
J M Tate High School,Cantonment,FL,32533,150
North Point Christian Academy,Carrollton,GA,30117,500
Wallkill Senior High School,Wallkill,NY,12589,150
New Market Skills Center,Tumwater,WA,98501,150
Capitol City Baptist School,Jackson,MS,39212,500
Plainfield Christian School,Plainfield,IN,46168,500
SoloQuest School And Learning Center,Sonoma,CA,95476,500
Cranston High School West,Cranston,RI,02920,150
Christian Academy and Tutoring Service International,Texarkana,TX,75501,500
New Heights School,Pinson,TN,38366,150
Light of the World Christian Academy of Atlanta,Atlanta,GA,30316,500
Birchwood High School,Columbia,SC,29212,150
Random Lake High School,Random Lake,WI,53075,150
Sandalwood Senior High School,Jacksonville,FL,32246,150
Saint Michael's High School,St Michaels,AZ,86511,2700
Lecroy Career Technical Center,Clanton,AL,35045,150
Mountain Empire High School,Pine Valley,CA,91962,150
American Academy of Excellence - Houston,Houston,TX,77002,150
Browning School,New York,NY,10065,150
Valley Community Day School,Merced,CA,95341,150
Rock Of Ages Christian Academy,Ruffin,NC,27326,500
Lone Grove High School,Lone Grove,OK,73443,500
Winston-Salem Christian School,Winston Salem,NC,27106,500
Rocklin Independent School,Rocklin,CA,95765,500
Naugatuck High School,Naugatuck,CT,06770,150
Wallace High School,Wallace,NE,69169,150
Parkway Academy North,Wilmington,DE,19805,150
Olive Tree Christian School,Mira Loma,CA,91752,500
Ness City High School,Ness City,KS,67560,150
Somerset County Area Vocational-Technical School,Somerset,PA,15501,150
Tri-Cities Preparatory,Pasco,WA,99301,500
Urban Assembly School for Green Careers,New York,NY,10024,150
Bahcesehir High School for Science and Technology,Istanbul,,00nan,2700
Pine Bush High School,Pine Bush,NY,12566,150
Sun Hawk Academy,Saint George,UT,84770,500
Achievement House Inc,Bryn Mawr,PA,19010,150
Turner County High School,Ashburn,GA,31714,150
James N Gamble Montessori High School,Cincinnati,OH,45232,150
"Scotland High School of Business, Finance and Marketing",Laurinburg,NC,28352,150
Saint Louis Academies,Saint Louis,MO,63107,500
Norwood-Norfolk Central School,Norwood,NY,13668,150
Saint Albans High School,Saint Albans,WV,25177,150
Lighthouse Learning Center,Clute,TX,77531,500
Morgan County High School,Madison,GA,30650,150
White Lake High School,White Lake,WI,54491,150
Friend Public School,Friend,NE,68359,150
Cutler Ridge Christian Academy,Cutler Bay,FL,33189,500
Hatboro-Horsham High School,Horsham,PA,19044,150
Manteno Senior High School,Manteno,IL,60950,500
Pieceful Solutions,Gilbert,AZ,00nan,2700
Palmyra Area High School,Palmyra,PA,17078,150
Vanderbilt Area School,Vanderbilt,MI,49795,150
LEAD College Prepreparatory,Gary,IN,46403,150
Arizona Call-A-Teen Center of Excellence High School,Phoenix,AZ,85003,150
Restoration Church Academy,Casper,WY,82601,500
Dorothy V Johnson High School CDS,Los Angeles,CA,90002,150
McDonogh 35 College Preparatory High School,New Orleans,LA,70116,500
Community Connections High School,Plainfield,CT,06374,150
Hopewell Valley Central High School,Pennington,NJ,08534,150
Rushmore Academy,Marion,OH,43302,150
Faith Community Christian High School,Fenton,MO,63026,500
KM Global School for Global Leadership and Innovation,Wales,WI,53183,150
Aynor High School,Aynor,SC,29511,150
Cache High School,Cache,OK,73527,150
Vernonia High School,Vernonia,OR,97064,150
Aspen High School,Robbins,IL,60472,150
Broad Run High School,Ashburn,VA,20147,150
Bowling Brook Preparatory,Keymar,MD,00nan,2700
Thunderridge High School,Hghlnds Ranch,CO,80129,150
Hunt High School,Wilson,NC,27893,150
Grapeland High School,Grapeland,TX,75844,150
Early Career Academy,Troy,MI,00nan,2700
Lamar County Comprehensive High School,Barnesville,GA,30204,150
Harrell Center,Wichita Falls,TX,76301,150
Central Pennsylvania Digital Learning Foundation,Altoona,PA,16602,150
Brooklyn Bridge Academy of South Shore Educational Complex,Brooklyn,NY,11236,150
Swainsboro High School,Swainsboro,GA,30401,150
Westlake High School,Austin,TX,78746,150
Chambers High School,Chambers,NE,68725,150
Hulbert High School,Hulbert,OK,74441,150
Colonel Richardson High School,Federalsburg,MD,21632,150
Queen's Satellite Academy High School for Opportunity,Jamaica,NY,11432,150
Polk State Lakeland Gateway to College,Lakeland,FL,33803,500
Royalton High School,Royalton,MN,56373,150
Hermitage R-Iv High School,Hermitage,MO,65668,150
Dana L West High School,Port Byron,NY,13140,150
Pathways to Graduation Brooklyn,Brooklyn,NY,00nan,2700
Middleborough High School,Middleboro,MA,02346,500
Ocean Township High School,Oakhurst,NJ,07755,150
Southern Huntingdon County High School,Three Springs,PA,17264,150
Saugatuck High School,Saugatuck,MI,49453,150
Bishop's College School,Lennoxville,QC,00nan,2700
Albuquerque Charter Vocational High School,Albuquerque,NM,87107,150
Holy Trinity Diocesan High School,Hicksville,NY,11801,150
To Hajiilee High School,Canoncito,NM,87026,500
Youth Services Center School,Washington,DC,20002,150
Kimberly High School,Kimberly,ID,83341,150
Heights Christian Academy,Houston,TX,77008,500
Fort Zumwalt South High School,Saint Peters,MO,63376,150
Butte Christian School,Butte,MT,59702,500
Bear Hollow School,Palo Alto,CA,94306,150
Williamsfield High School,Williamsfield,IL,61489,150
Premier High School of East El Paso,El Paso,TX,00nan,2700
South Shelby High School,Shelbina,MO,63468,150
East Mecklenburg High School,Charlotte,NC,28212,150
Abington High School,Abington,MA,02351,150
Belmont Preparatory High School,Bronx,NY,10458,150
Academy Of Arts And Sciences Oxnard,Westlake Vlg,CA,91361,150
Waukesha West High School,Waukesha,WI,53189,150
Arnhem International School,Arnhem,,00nan,2700
Harvey High School,Harvey,ND,58341,150
Moore High School,Moore,OK,73160,150
Philadelphia High School for Business and Technology,Philadelphia,PA,19123,150
Hancock High School,Hancock,MN,56244,150
Golden Plains High School,Rexford,KS,67753,150
Saint Basil Academy,Jenkintown,PA,19046,2700
Milford Alternative Program,Milford,CT,06460,150
Olivet High School,Olivet,MI,49076,150
Full Gospel Christian School,Sterling,IL,61081,2700
Berachah Christian Academy,Warsaw,VA,00nan,2700
Bishop Gore High School,Swansea,WALES,00nan,2700
Academy of Law and Public Safety - Waretown,Waretown,NJ,00nan,2700
East Carter High School,Ellsinore,MO,63937,150
Fall Mountain Regional High School,Langdon,NH,03602,150
Federal Penitentiary,Lewisburg,PA,17837,150
New Horizons Learning Center,Panama City,FL,32405,150
Bellevue Big Picture School,Bellevue,WA,98007,150
Lourdes Central High School,Nebraska City,NE,68410,500
Franklin Wesleyan Academy,Franklin,OH,45005,500
Andover High School,Andover,KS,67002,150
Sonoran Science Academy - Phoenix,Phoenix,AZ,85008,500
Vilonia High School,Vilonia,AR,72173,150
Eagle Learning Center,Oregon,OH,43616,150
Newcastle High School,Newcastle,TX,76372,150
Prattsburgh Central School,Prattsburgh,NY,14873,150
California Science Academy,Fresno,CA,93702,150
Tustin High School,Tustin,CA,92780,150
Rolling Hills Preparatory School,San Pedro,CA,90732,500
Saints Academy,Lexington,MS,39095,2700
Bell City High School,Bell City,MO,63735,150
South East High School,South Gate,CA,90280,150
Castle High School,Newburgh,IN,47630,150
Westchester Enriched Sciences Magnets-Aviation & Aerospace,Los Angeles,CA,00nan,2700
Raleigh High School,Raleigh,MS,39153,150
Robertsdale High School,Robertsdale,AL,36567,150
University Park Academy,Houston,TX,77033,500
Caruthers High School,Caruthers,CA,93609,150
Machon Academy,Forest Hills,NY,11375,500
Northumberland High School,Heathsville,VA,22473,150
Cincinnati State Stem Academy,Cincinnati,OH,45223,150
Liberty Charter High School,Nampa,ID,83686,150
Gladewater High School,Gladewater,TX,75647,150
Dora R-Iii High School,Dora,MO,65637,150
Park Forest Academy,Park Forest,IL,60466,500
Heather Ridge School,Frederick,MD,21702,150
Martin Luther King Academy,Memphis,TN,38126,500
The Urban Assembly New York Harbor School,New York,NY,10004,150
Whidbey Island Academy,Langley,WA,98260,150
Shreveport Job Corporation Opportunity Center,Shreveport,LA,71109,150
Archbishop Spalding High School,Severn,MD,21144,2700
New Franklin R-I High School,New Franklin,MO,65274,150
Mumford High School,Detroit,MI,48221,150
High Technology High School,Lincroft,NJ,07738,150
Redbud Academy,Amarillo,TX,79102,500
Crowley County High School,Ordway,CO,81063,150
Higgins Classical Institute,Charleston,ME,04422,150
Monroe Christian Academy,Monroe,OR,97456,500
Fort Dorchester High School,N Charleston,SC,29420,150
Loranger High School,Loranger,LA,70446,500
Advance R-Iv High School,Advance,MO,63730,150
Yutan Junior Senior High School,Yutan,NE,68073,150
Wayne Early-Middle College High School,Goldsboro,NC,27534,150
Harvest Community School,Jacksonville,FL,32246,150
Tulsa Boys' Home,Sand Springs,OK,74063,150
Fellowship Baptist Church School,Middletown,CT,06457,150
Burk Academic Preparatory Center,Las Vegas,NV,89103,150
Edgecombe Early College High School,Tarboro,NC,27886,150
Reignierd School,Vallejo,CA,94590,500
Boston International High School,Dorchester,MA,02124,150
Hernando County Adult and Community Education,Brooksville,FL,34601,150
Kathlyn Joy Gilliam Collegiate Academy,Dallas,TX,75241,150
Providence Academy,Plymouth,MN,55446,2700
Pioneer High School,Whittier,CA,90606,150
John R Mott High School,Postville,IA,52162,150
Star Academy,San Rafael,CA,94903,150
Canaan Memorial High School,Canaan,VT,05903,150
Sierra High School,Glendora,CA,91740,150
Fort Fairfield Middle-High School,Ft Fairfield,ME,04742,150
West Jefferson High School,W Jefferson,OH,43162,150
Teurlings Catholic High School,Lafayette,LA,70501,2700
E-Nini-Hassee,Floral City,FL,34436,150
Bishop Ford Central Catholic High School,Brooklyn,NY,11215,2700
Hume Lake Charter School,Hume,CA,93628,150
Al-Iman School,Jamaica,NY,11435,150
Western Youth Institution,Morganton,NC,28655,150
Buffalo Evening High School,Buffalo,NY,14214,150
Olympian High School,Chula Vista,CA,91913,150
Village Charter School,Aston,PA,19014,150
Alberta College,Edmonton,AB,00nan,2700
Auburn Hills Christian School,Auburn Hills,MI,48326,500
Dwight Morrow High School,Englewood,NJ,07631,150
Greenville High School,Greenville,TX,75402,150
Pima Rose Academy,Tucson,AZ,85746,500
Denair Charter Academy,Denair,CA,95316,150
Brampton Centennial Secondary School,Brampton,ON,00nan,2700
Armbrae Academy,Halifax,NS,00nan,2700
Sankofa Academy Charter School,West Chester,PA,19380,500
Fairfield Warde High School,Fairfield,CT,06825,150
Trinity Christian Preparatory School,Charlotte,NC,28227,500
West Valley High School,Fairbanks,AK,99709,150
Seaford Senior High School,Seaford,DE,19973,150
Bible Baptist Day School,Savannah,GA,31404,500
Walnut Creek Campus,Wdm,IA,50265,150
J Z George High School,N Carrollton,MS,38947,150
Cinco Ranch High School,Katy,TX,77494,150
Lockhart Middle School,Lockhart,SC,29364,500
Beaufort Academy,Beaufort,SC,29907,150
French Settlement High School,Fr Settlement,LA,70733,150
Crystal Springs Uplands School,Hillsborough,CA,94010,150
Cokeville High School,Cokeville,WY,83114,150
Horseshoe Bend School,New Site,AL,36256,150
Moreno Valley High School,Moreno Valley,CA,92553,150
Trout Lake High School,Trout Lake,WA,98650,150
Monterey Adult School,Monterey,CA,93940,150
American Youth Academy,Tampa,FL,33617,150
Ridgevue High School,Nampa,ID,00nan,2700
South Hills Academy,West Covina,CA,00nan,2700
Veritas Classical Schools - West Cobb Campus,Kennesaw,GA,30144,150
Notre Dame de La Salette Boys' Academy,Georgetown,IL,61846,150
Clovis Christian School,Clovis,CA,93619,500
Riverton High School,Riverton,IL,62561,150
Arvada West High School,Arvada,CO,80004,150
Voyagers Community School,Farmingdale,NJ,07727,150
Ymca Elesair Project,New York,NY,10023,500
Omaha Baptist Academy,Omaha,NE,68144,150
Sweet Home High School,Amherst,NY,14228,150
Highlands Academy,Kansas City,MO,64129,150
Masters Academy of North West Florida,Marianna,FL,32448,500
Osceola High School,Osceola,MO,64776,150
Morningside Graham Alternative,Charlotte,NC,28206,500
Cass-Midway R-I High School,Cleveland,MO,64734,150
Alaska State School For The Deaf & Hard Of Hearing,Anchorage,AK,99504,150
Automotive High School,Brooklyn,NY,11222,150
